지역구명,시설 개수
종로구,36
중구,26
용산구,29
성동구,37
광진구,41
동대문구,49
중랑구,57
성북구,73
강북구,49
도봉구,45
노원구,55
은평구,80
서대문구,35
마포구,44
양천구,55
강서구,76
구로구,89
금천구,28
영등포구,52
동작구,57
관악구,55
서초구,57
강남구,54
송파구,83
강동구,66
