지역구명,시설 개수
종로구,188
중구,320
용산구,153
성동구,424
광진구,984
동대문구,795
중랑구,925
성북구,716
강북구,713
도봉구,571
노원구,394
은평구,804
서대문구,463
마포구,513
양천구,797
강서구,1080
구로구,739
금천구,485
영등포구,623
동작구,676
관악구,791
서초구,447
강남구,920
송파구,647
강동구,585
