"학교명","학교급구분","위도","경도"
"서울잠원초등학교","초등학교","37.501859","126.9980966"
"상원중학교","중학교","37.67176621","127.0595044"
"우신중학교","중학교","37.49490231","126.8263536"
"동작고등학교","고등학교","37.48260194","126.9650863"
"광신방송예술고등학교","고등학교","37.4644762","126.9259406"
"신림중학교","중학교","37.47032734","126.946004"
"배문고등학교","고등학교","37.54999783","126.9639041"
"서문여자중학교","중학교","37.48891973","126.9845622"
"서울대학교사범대학부설중학교","중학교","37.59582047","127.0391333"
"무학중학교","중학교","37.55768336","127.0319746"
"등촌중학교","중학교","37.55248221","126.8592148"
"이화여자대학교사범대학부속이화·금란중학교","중학교","37.56264282","126.9444886"
"홍익대학교사범대학부속여자중학교","중학교","37.55964474","126.9132084"
"서울거원초등학교","초등학교","37.48762503","127.144909"
"경문고등학교","고등학교","37.49341886","126.9822734"
"성동고등학교","고등학교","37.56411643","127.0223892"
"한가람고등학교","고등학교","37.53746204","126.8840075"
"전동중학교","중학교","37.58619359","127.0709291"
"봉화중학교","중학교","37.59582753","127.1043156"
"관악중학교","중학교","37.48125828","126.9619123"
"서울송천초등학교","초등학교","37.6149052","127.0237354"
"서울서정초등학교","초등학교","37.52345012","126.8672362"
"서울방일초등학교","초등학교","37.4852056","126.998849"
"서울하늘초등학교","초등학교","37.5858088","126.8808619"
"대일고등학교","고등학교","37.5394887","126.8634031"
"서울목동초등학교","초등학교","37.52280877","126.8721195"
"등촌고등학교","고등학교","37.56294522","126.8450461"
"휘경여자고등학교","고등학교","37.58190052","127.0674341"
"서울신답초등학교","초등학교","37.57270461","127.0429617"
"현대고등학교","고등학교","37.5254805","127.0223773"
"을지중학교","중학교","37.64978791","127.0717084"
"서울남부초등학교","초등학교","37.48511944","126.9221838"
"서울신영초등학교","초등학교","37.50100602","126.8960948"
"대경중학교","중학교","37.55637326","127.0169792"
"가락고등학교","고등학교","37.50107579","127.1164258"
"오금중학교","중학교","37.50527064","127.1288011"
"거원중학교","중학교","37.48772386","127.1465491"
"문일중학교","중학교","37.44891526","126.8987207"
"서울신원초등학교","초등학교","37.52950283","126.829855"
"서울면일초등학교","초등학교","37.5920416","127.0997947"
"서운중학교","중학교","37.49394851","127.0245382"
"서울난향초등학교","초등학교","37.46282189","126.9183368"
"동국대학교사범대학부속중학교","중학교","37.57804718","127.0751705"
"인덕과학기술고등학교","고등학교","37.63034387","127.0544999"
"덕원여자고등학교","고등학교","37.54862258","126.8290245"
"서울사당초등학교","초등학교","37.47383628","126.9733501"
"서울면남초등학교","초등학교","37.57725972","127.0876664"
"당곡고등학교","고등학교","37.49176034","126.9342464"
"난우중학교","중학교","37.46680396","126.9228283"
"서울송화초등학교","초등학교","37.56815047","126.8180329"
"양재고등학교","고등학교","37.48242164","127.0320796"
"서울종암초등학교","초등학교","37.58230741","127.0318564"
"경희여자중학교","중학교","37.59394914","127.054891"
"서울서빙고초등학교","초등학교","37.52206892","126.9923004"
"문래중학교","중학교","37.52041829","126.8841404"
"서울면북초등학교","초등학교","37.59441816","127.1035478"
"서울영동초등학교","초등학교","37.52700691","126.9077034"
"서울미동초등학교","초등학교","37.56335057","126.9658506"
"서울본동초등학교","초등학교","37.50992508","126.9538508"
"난곡중학교","중학교","37.47804558","126.9107916"
"강일중학교","중학교","37.5553497","127.1382586"
"송정중학교","중학교","37.55315807","126.8152435"
"상도중학교","중학교","37.4909219","126.9614756"
"오산고등학교","고등학교","37.52350529","127.0008872"
"이수중학교","중학교","37.48063003","126.989859"
"덕원예술고등학교","고등학교","37.54862258","126.8290245"
"동마중학교","중학교","37.56280251","127.0403512"
"서울상수초등학교","초등학교","37.65110502","127.0647586"
"명덕여자고등학교","고등학교","37.55394399","126.8342914"
"서일문화예술고등학교","고등학교","37.57937936","127.0127598"
"서울전곡초등학교","초등학교","37.58070429","127.0560124"
"서울두산초등학교","초등학교","37.46754839","126.8909461"
"구로중학교","중학교","37.49485972","126.8910999"
"장안중학교","중학교","37.60077444","127.0809965"
"신천중학교","중학교","37.51625001","127.0792834"
"이화여자대학교사범대학부속이화금란고등학교","고등학교","37.56638886","126.9473028"
"서울선유초등학교","초등학교","37.53287919","126.8927768"
"배문중학교","중학교","37.54991872","126.9639041"
"수서중학교","중학교","37.49120377","127.1023799"
"서울왕북초등학교","초등학교","37.48632828","127.0860547"
"한양대학교사범대학부속중학교","중학교","37.56191884","127.042324"
"서울수색초등학교","초등학교","37.58517215","126.8960121"
"서울신동초등학교","초등학교","37.51713004","127.0113904"
"서울방화초등학교","초등학교","37.56870373","126.8074982"
"성남고등학교","고등학교","37.50528157","126.9266153"
"신현중학교","중학교","37.60441346","127.0915328"
"광양중학교","중학교","37.53089134","127.0861699867"
"서울방이초등학교","초등학교","37.51343915","127.1204994"
"서울미아초등학교","초등학교","37.61058761","127.0216444"
"서울금산초등학교","초등학교","37.44144269","126.9080871"
"휘문고등학교","고등학교","37.50528945","127.0619939"
"서울동산고등학교","고등학교","37.63077798","127.0739984"
"서울가양초등학교","초등학교","37.56221719","126.8585216"
"서울대동초등학교","초등학교","37.49370503","126.9001194"
"서울답십리초등학교","초등학교","37.56880432","127.055427"
"영서중학교","중학교","37.48911393","126.8956154"
"서울삼정초등학교","초등학교","37.58050843","126.8104937"
"서울덕의초등학교","초등학교","37.50605683","126.857346"
"동명생활경영고등학교","고등학교","37.61441879","126.9228204"
"서울숭곡초등학교","초등학교","37.60840947","127.0328151"
"옥정중학교","중학교","37.54167037","127.0129832"
"구로고등학교","고등학교","37.49884008","126.8903092"
"서울은진초등학교","초등학교","37.63303012","126.920996"
"서울용곡초등학교","초등학교","37.56710862","127.088453"
"아주중학교","중학교","37.50523028","127.0765497"
"서울은천초등학교","초등학교","37.4865852","126.9426791"
"금옥여자고등학교","고등학교","37.51096532","126.8439717"
"양천고등학교","고등학교","37.5083206","126.8452028"
"월계중학교","중학교","37.63113114","127.0523203"
"서울청담초등학교","초등학교","37.52828187","127.045153"
"서울묵현초등학교","초등학교","37.6090804","127.0736243"
"솔샘중학교","중학교","37.62366717","127.0121792"
"서울서신초등학교","초등학교","37.59229405","126.9073823"
"서울용두초등학교","초등학교","37.57641309","127.0283872"
"서울관악초등학교","초등학교","37.48102565","126.9425545"
"대성중학교","중학교","37.62314228","126.9097907"
"선유고등학교","고등학교","37.53390162","126.8948507"
"덕일전자공업고등학교","고등학교","37.49053652","126.8371091"
"서울문덕초등학교","초등학교","37.48518009","127.127729"
"서울일신초등학교","초등학교","37.59881357","127.0401072"
"서울화곡초등학교","초등학교","37.54366962","126.8464717"
"잠신고등학교","고등학교","37.51470129","127.088283"
"용곡중학교","중학교","37.56595126","127.0890896"
"서울상계초등학교","초등학교","37.65962546","127.066495"
"서울봉래초등학교","초등학교","37.55641234","126.9652506"
"한강미디어고등학교","고등학교","37.53929145","126.8972599"
"종암중학교","중학교","37.593111","127.0319913"
"서울대도초등학교","초등학교","37.49260076","127.0533774"
"서울을지초등학교","초등학교","37.65058885","127.0730918"
"서울역삼초등학교","초등학교","37.49316528","127.0326527"
"서울금동초등학교","초등학교","37.44773848","126.9163989"
"성신초등학교","초등학교","37.59462313","127.0231285"
"서울신중초등학교","초등학교","37.48015788","127.0093433"
"숭곡중학교","중학교","37.60847848","127.0312998"
"서울창림초등학교","초등학교","37.64323708","127.0416041"
"성산중학교","중학교","37.54731637","126.9165628"
"서울도신초등학교","초등학교","37.49926789","126.9007141"
"서울신묵초등학교","초등학교","37.60652285","127.0758358"
"문현고등학교","고등학교","37.48131355","127.1287623"
"서울옥정초등학교","초등학교","37.54230974","127.0157855"
"서울삼선초등학교","초등학교","37.58714152","127.0126718"
"한성여자중학교","중학교","37.58196256","127.0113127"
"월계고등학교","고등학교","37.63173301","127.0487159"
"대일외국어고등학교","고등학교","37.61330459","127.014176"
"서울여의도초등학교","초등학교","37.52320482","126.9367944"
"오금고등학교","고등학교","37.50453217","127.128969"
"중평중학교","중학교","37.63697638","127.0623933"
"서라벌중학교","중학교","37.65698403","127.0114883"
"서울율현초등학교","초등학교","37.47451551","127.1082848"
"서울숭미초등학교","초등학교","37.65102344","127.0279443"
"한성과학고등학교","고등학교","37.57543617","126.9523709"
"서울은로초등학교","초등학교","37.50314888","126.9599535"
"남강고등학교","고등학교","37.47137567","126.9249091"
"서울봉현초등학교","초등학교","37.49124068","126.9555874"
"서울은평초등학교","초등학교","37.60230404","126.9340336"
"충암고등학교","고등학교","37.58464029","126.9218095"
"서울숭인초등학교","초등학교","37.6091602","127.0382341"
"덕원중학교","중학교","37.54862258","126.8290245"
"경희초등학교","초등학교","37.59394914","127.054891"
"문정중학교","중학교","37.48848095","127.1300209"
"인수중학교","중학교","37.64386667","127.0099213"
"건국대학교사범대학부속고등학교","고등학교","37.53918267","127.0747119"
"문성중학교","중학교","37.4754682","126.9084938"
"배명중학교","중학교","37.4976895","127.0958118"
"서울수유초등학교","초등학교","37.63124966","127.0202924"
"강서공업고등학교","고등학교","37.57603409","126.8161817"
"서울연지초등학교","초등학교","37.63319251","127.0595343"
"서울보광초등학교","초등학교","37.53254047","126.9963946"
"강서고등학교","고등학교","37.53631557","126.8657711"
"자양고등학교","고등학교","37.53607797","127.0733395"
"용산고등학교","고등학교","37.54586738","126.9803277"
"서울홍제초등학교","초등학교","37.59350546","126.9454205"
"중동고등학교","고등학교","37.49371459","127.0809122"
"서울동구고등학교","고등학교","37.59410587","127.0082153"
"한강중학교","중학교","37.52361192","126.9927909"
"신남중학교","중학교","37.52077389","126.8478926"
"서울광남초등학교","초등학교","37.54078809","127.1006653"
"경희중학교","중학교","37.59394914","127.054891"
"서울난곡초등학교","초등학교","37.4691282","126.9163416"
"신수중학교","중학교","37.545923","126.934132"
"언주중학교","중학교","37.51465316","127.0466832"
"서울청계초등학교","초등학교","37.64503406","127.0661389"
"신월중학교","중학교","37.54046194","126.828389"
"서울영희초등학교","초등학교","37.4923004","127.0811328"
"잠실여자고등학교","고등학교","37.50179413","127.1142413"
"서울관광고등학교","고등학교","37.48781542","126.9437608"
"서울체육고등학교","고등학교","37.52233038","127.1298226"
"서울금옥초등학교","초등학교","37.54632146","127.0176012"
"서울신남성초등학교","초등학교","37.48815254","126.9648699619"
"서울선곡초등학교","초등학교","37.61869442","127.0578029"
"일신여자상업고등학교","고등학교","37.50179413","127.1142413"
"서울청파초등학교","초등학교","37.5473049","126.9635439"
"서울대모초등학교","초등학교","37.48059845","127.0859938"
"서울오류초등학교","초등학교","37.49752741","126.8420300297"
"숭실고등학교","고등학교","37.59327482","126.9024039"
