지역구명,시설 개수
종로구,365
중구,316
용산구,203
성동구,258
광진구,566
동대문구,278
중랑구,514
성북구,377
강북구,521
도봉구,303
노원구,491
은평구,428
서대문구,365
마포구,426
양천구,419
강서구,611
구로구,492
금천구,330
영등포구,626
동작구,334
관악구,631
서초구,667
강남구,825
송파구,1034
강동구,473
