시설 이름,X,Y
청담클루빌영수전문학원,126.9558391,37.5550359
원리탐구학원,126.9056549,37.5682861
케이엠씨홍대실용음악학원,126.9215549,37.5568001
신촌독서실,126.9342255,37.5555996
엠엘피학원,126.8954806,37.5750391
한우리독서토론논술국어교습소,126.9529156,37.5488198
하은음악교습소,126.8932477,37.5752255
홍잼실용음악학원,126.9235378,37.5511326
청담에이프릴어학원,126.9142106,37.562184
미대편입이드학원,126.9254396,37.5534656
슈만과피아노여행음악교습소,126.9004018,37.5598667
상암통문장영어교습소,126.8807537,37.5802435
아이디어하우스학원,126.9204412,37.5594659
파토스학원,126.9028489,37.5573936
리딩잇츠어학원,126.8832229,37.5801678
말글의힘신경주국어논술전문학원,126.9454556,37.5465639
정준수학학원,126.8906883,37.5775711
에스비에스(SBS)아카데미컴퓨터아트학원,126.9250119,37.557237
삼성영어미래엔수학학원,126.9258703,37.5542084
엠피아수학학원,126.8834837,37.5801432
박선생수학교습소,126.8807537,37.5802435
파워수학교습소,126.9045008,37.5697981
공감차수학교습소,126.9038503,37.5701525
이룸미술학원,126.9266221,37.5530799
에프티케이잉글리쉬어학원,126.9577599,37.5487636
삼성영어셀레나최고염리학원,126.9432595,37.5434087
아이숲어학원,126.9397857,37.5449904
패스원미술학원,126.927818,37.5533431
잉글리시아이성산학원,126.9045008,37.5697981
정아수학교습소,126.9502608,37.5379928
비트윈마포영어교습소,126.9548671,37.5435931
뮤직아트음악교습소,126.9051845,37.5718047
합정한우리독서토론논술국어교습소,126.9101701,37.553614
베스트학원,126.9436982,37.5451967
아트숲미술교습소,126.9412784,37.543463
푸른나무영어학원,126.9045104,37.5575442
피아노제이음악교습소,126.9471235,37.5365953
수학마루수학교습소,126.900503,37.5606785
임마누엘음악교습소,126.9005437,37.5609943
공쌤수학교습소,126.9032954,37.559362
업미술학원,126.9456666,37.5540805
라이크영어교습소,126.904174,37.5573338
윤선생IGSE마포서교학원,126.9256787,37.5541526
아이네모미술학원,126.9129441,37.563659
대치영재수학학원,126.942888,37.545676
한국커리어개발원학원,126.9227941,37.5485489
눈높이러닝센터망원스카이학원,126.903938,37.5579894
신윤숙수학교습소,126.9019683,37.571892
지니발레아카데미학원,126.9233671,37.5574924
아름소리음악학원,126.9515116,37.5375534
공간사진학원,126.9146511,37.5521055
도담수학교습소,126.9502366,37.5381097
21세기이화피아노교습소,126.8910733,37.5745113
지원(G1)미술학원,126.929219,37.5543019
지혜의샘수학교습소,126.9063865,37.5538583
위즈음악학원,126.9060349,37.568614
찬스잉글리쉬클럽학원,126.9502917,37.5382093
뮤엠영어망원영어교습소,126.9014969,37.5592822
아율뮤직음악교습소,126.9203992,37.5608081
에스아이그림책학원,126.9241677,37.5584908
한솔요리학원,126.9353386,37.5553213
윤선생영어교실IGSE마포상암학원,126.8935425,37.5767239
홍수진미술교습소,126.9471235,37.5365953
디자인나스학원,126.9180917,37.5513081
김명기보컬아카데미학원,126.9212679,37.5492287
스카이이스턴영어교습소,126.9549338,37.5453057
신나는미술행복한아이들미술교습소,126.9555871,37.5455187
상암신나는미술교습소,126.8910733,37.5745113
껌학원,126.9159694,37.560317
발레조아무용학원,126.9343865,37.5546279
신바하음악교습소,126.9173465,37.5629246
눈높이러닝센터공덕학원,126.9521557,37.5489392
문고리미술교육학원,126.9184463,37.5549695
제이음악교습소,126.9023412,37.5572807
아트플러스미술교습소,126.9502917,37.5382093
서연수학교습소,126.9556094,37.5552771
공덕에듀플렉스학원,126.9564958,37.55096
안단테음악교습소,126.9038394,37.5577632
캘리애영어교습소,126.9523951,37.5471934
대성뫼비우스수학교습소,126.9023412,37.5572807
전원주니어미술학원,126.9199347,37.5475046
스카이보다미술학원,126.9279758,37.5533895
아뜰리에뷰학원,126.9296401,37.5541345
두드림실용음악학원,126.9183246,37.5555541
으뜸바둑교습소,126.9424891,37.5450777
장수영바둑연구학원,126.9062179,37.5599748
에스엠에스서울실용음악학원,126.9359778,37.5541467
마포1관정상어학원,126.9326932,37.5503507
모두다른고양이미술학원,126.9243422,37.5534376
네모미술교습소,126.9029441,37.5570701
늘채움수학교습소,126.9020147,37.5571606
이화뮤직음악학원,126.9615823,37.5514103
윌수학학원,126.9094071,37.5671404
이플러스학원,126.9038503,37.5701525
아이엠어바텐더학원,126.9248202,37.5587671
원뮤직아카데미학원,126.905454,37.5603551
아이엠아트실용취미미술학원,126.9226551,37.5511336
사다리아트미술교습소,126.9104477,37.5532021
에스아이플러스학원,126.9104477,37.5532021
마중물학원,126.9408905,37.5444867
성산영어교습소,126.9104665,37.5526886
조이음악학원,126.9104477,37.5532021
디자인쏘울미술학원,126.9251803,37.5533912
도미넌트음악교습소,126.9109306,37.5674608
큐브미술학원,126.9227215,37.5583154
앤트스터디명품관학원,126.9045822,37.5696457
아트인미술교습소,126.8832229,37.5801678
뮤엠영어성산캠퍼스영어교습소,126.9038503,37.5701525
윙스카이승무원학원,126.9280578,37.5555618
동강서예교습소,126.9033762,37.5592546
퍼밀교육입시전문학원,126.9473584,37.5424271
행복한수학전문학원,126.9446428,37.5448177
제이케이영어국어학원,126.9449201,37.5468204
마포스즈키음악학원,126.9400237,37.5449655
베스트오렌지수학교습소,126.9606842,37.5549615
대유영어학원,126.9457237,37.5460077
구조분석영어학원,126.908385,37.5673653
퍼니아트미술학원,126.9126481,37.5591061
브람스음악교습소,126.9062858,37.5584256
라온스터디학원,126.9322002,37.5452464
그림아트스튜디오망원미술교습소,126.9062858,37.5584256
제이앤디실용음악학원,126.9330117,37.545479
리얼보이스아카데미학원,126.9170379,37.5529654
티에스엠하이츠수학학원,126.9393491,37.5494466
한국학원,126.963469,37.5500122
